alpha_deg,neutral_resolved,unfavorable_6mM_z70,unfavorable_20mM_z70,unfavorable_50mM_z70,unfavorable_100mM_z70,unfavorable_50mM_z50,unfavorable_50mM_z30,unfavorable_100mM_z30,unfavorable_50mM_z70_100xD
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,0.00603,0.00675,0.01364,0.17992,0.84161,0.26451,0.42980,0.95147,0.00591
2,0.01307,0.00900,0.02501,0.24083,0.87142,0.33049,0.49367,0.96738,0.01097
3,0.01910,0.01406,0.03297,0.28652,0.88428,0.35893,0.52532,0.96897,0.01695
4,0.02362,0.01912,0.04434,0.31246,0.89012,0.38965,0.55006,0.97056,0.02306
5,0.03015,0.02812,0.05742,0.33841,0.89597,0.42036,0.57250,0.97216,0.02910
6,0.03769,0.03431,0.07106,0.36943,0.90298,0.44027,0.58400,0.97375,0.03456
7,0.04221,0.04049,0.07732,0.38297,0.90590,0.45620,0.59379,0.97534,0.04139
8,0.04573,0.04837,0.08357,0.39876,0.91175,0.47611,0.60932,0.97534,0.04717
9,0.05477,0.05681,0.09835,0.41906,0.91876,0.49659,0.62428,0.97613,0.05322
10,0.06633,0.06468,0.10688,0.42865,0.92110,0.50626,0.63694,0.97693,0.05946
11,0.07136,0.07030,0.11313,0.43824,0.92285,0.51763,0.64442,0.97693,0.06662
12,0.07638,0.07649,0.12280,0.45347,0.92402,0.52673,0.65017,0.97693,0.07233
13,0.08040,0.08155,0.13530,0.46306,0.92577,0.54437,0.65708,0.97772,0.07844
14,0.08442,0.08549,0.14156,0.46926,0.92753,0.54778,0.66226,0.97772,0.08534
15,0.08945,0.09111,0.14895,0.48223,0.92987,0.55575,0.66686,0.97852,0.09145
16,0.09598,0.10292,0.15861,0.49408,0.93103,0.56712,0.67261,0.97852,0.09769
17,0.10302,0.10967,0.16828,0.50367,0.93162,0.57736,0.68239,0.97932,0.10407
18,0.11407,0.11755,0.17965,0.51269,0.93220,0.58419,0.68700,0.98011,0.11090
19,0.12060,0.12092,0.19102,0.52453,0.93396,0.58987,0.69333,0.98091,0.11734
20,0.12412,0.12655,0.19784,0.53356,0.93513,0.59613,0.69850,0.98091,0.12227
21,0.13317,0.13555,0.20523,0.54089,0.93571,0.60466,0.70598,0.98091,0.12798
22,0.14121,0.14454,0.21262,0.54653,0.93688,0.60865,0.70598,0.98091,0.13462
23,0.14925,0.15411,0.21944,0.55104,0.93746,0.61661,0.70829,0.98170,0.14007
24,0.15930,0.16198,0.22570,0.55612,0.93805,0.62002,0.71577,0.98170,0.14644
25,0.16281,0.17098,0.23366,0.56007,0.93863,0.62457,0.71692,0.98170,0.15222
26,0.17236,0.18166,0.24446,0.57022,0.93980,0.63311,0.72325,0.98250,0.15899
27,0.18191,0.19010,0.25071,0.57868,0.93980,0.63709,0.72842,0.98250,0.16451
28,0.19095,0.19516,0.26094,0.58319,0.93980,0.64334,0.73188,0.98250,0.17193
29,0.19598,0.20416,0.27402,0.58996,0.94039,0.65074,0.73763,0.98250,0.17726
30,0.20352,0.21204,0.27857,0.59278,0.94039,0.65301,0.73936,0.98250,0.18415
31,0.21508,0.21822,0.28482,0.59786,0.94097,0.65586,0.74166,0.98329,0.18967
32,0.22663,0.22328,0.29392,0.60688,0.94097,0.66041,0.74799,0.98409,0.19532
33,0.23216,0.22722,0.30074,0.61027,0.94155,0.66212,0.75029,0.98409,0.20078
34,0.23869,0.23172,0.30927,0.62155,0.94331,0.67577,0.75949,0.98409,0.20629
35,0.24372,0.23960,0.31438,0.62662,0.94331,0.68146,0.76180,0.98488,0.21280
36,0.24975,0.24466,0.32462,0.63283,0.94681,0.69170,0.76928,0.98488,0.21825
37,0.25779,0.25759,0.34224,0.64298,0.94740,0.69568,0.77618,0.98488,0.22469
38,0.26432,0.26547,0.34451,0.64467,0.94740,0.69738,0.77675,0.98488,0.23080
39,0.27487,0.27109,0.35418,0.65426,0.94974,0.70592,0.78366,0.98568,0.23665
